,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33
pmc022,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc023,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc024,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc025,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc026,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc027,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc028,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc029,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc030,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc031,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
